"Infrastructure
ID",WBS,Category,Subcategory,Project Name,Identified Project funding,Project Description,Project Priority,Project Cost Estimate,Funding Status (%),Funding Phase,Funding Needed,Quadrant(s),NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,"Bond Tranche/
Funding Tier"
121-5087-0,1.2.2,Bridges,Bridge Maintenance,Brookridge Drive,,Major repairs to bridge over Clear Creek between Elkmont Road & Brookridge Drive.,Low,"$102,500",0%,,"$102,500",NE,NE,,,,1.000,"$102,500",,,,,,,6,,,,,,,,1.000,"$102,500",F,,,,,Virginia Highland,,,,,,,,,,,,,,,,,No,Low Bridge Maintenance,4
121-0388-0,1.2.2,Bridges,Bridge Maintenance,Lawton Street,,Major repairs to bridge over White Street between Donnelly Avenue & Mathews Street.,Low,"$274,500",0%,,"$274,500",SW,,,,SW,1.000,"$274,500",,,,,4,,,,,,,,,,1.000,"$274,500",S,T,,,,Oakland City,West End,,,,,,,,,,,,,Lawton Street,,,Yes,Low Bridge Maintenance,4
121-5121-0,1.2.2,Bridges,Bridge Maintenance,Bankhead Avenue,,Removal of abandoned bridge structure over Southern Railroad between Marietta Street & Northside Drive.,High,"$290,000",0%,,"$290,000",NW,,NW,,,1.000,"$200,000",,,,3,,,,,,,,,,,1.000,"$290,000",L,,,,,English Avenue,,,,,,,,,,,Donald L. Hollowell Parkway,,,,,,Yes,High Bridge Maintenance,1
121-0394-0,1.2.2,Bridges,Bridge Maintenance,West Lake Avenue,,"Major repairs to bridge over CSX Railroad between Martin L. King, Jr. Drive & Penelope Road.",Medium,"$3,525,000",0%,,"$3,525,000",NW,,NW,,,1.000,"$3,525,000",,,,3,,,,,,,,,,,1.000,"$3,525,000",J,K,,,,West Lake,Penelope Neighbors,Mozley Park,,,,,,,,,,,,West Lake Avenue,,,No,Medium Bridge Maintenance,4
121-0004-0,1.2.2,Bridges,Bridge Maintenance,Marietta Street,,Major repairs to bridge over CSX & Southern Railroads between Northside Drive & Ivan Allen Boulevard.,Low,"$4,538,400",0%,,"$4,538,400",NW,,NW,,,1.000,"$4,538,400",,,2,,,,,,,,,,,,1.000,"$4,538,400",M,,,,,Downtown,,,,,,,,,,,Marietta Street,,,,,,Yes,Low Bridge Maintenance,2
121-0023-0,1.2.2,Bridges,Bridge Maintenance,Edgewood Avenue,,Repairs to bridge between Krog Street and Airline Street.,Low,"$20,000",0%,,"$20,000",NE,NE,,,,1.000,"$20,000",,,2,,,,,,,,,,,,1.000,"$20,000",N,,,,,Inman Park,,,,,,,,,,,Edgewood Avenue,,,,,,Yes,Low Bridge Maintenance,4
121-0414-0,1.2.2,Bridges,Bridge Maintenance,West Peachtree Street,,Major repairs to bridge over I-75/85 between Ivan Allen Boulevard & Pine Street.,Low,"$100,000",0%,,"$100,000",NW,,NW,,,1.000,"$100,000",,,2,,,,,,,,,,,,1.000,"$100,000",M,,,,,Downtown,,,,,,,,,,,West Peachtree Street,,,,,,No,Low Bridge Maintenance,4
121-0359-0,1.2.2,Bridges,Bridge Maintenance,Centennial Olympic Park Drive,,Major repairs to bridge over Southern Railroad between Marietta Street & Peters Street.,Low,"$40,500,000",0%,,"$40,500,000",NW,,NW,,,1.000,"$40,500,000",,,2,,,,,,,,,,,,1.000,"$40,500,000",M,,,,,Downtown,,,,,,,,,,,,,,,,,Yes,Low Bridge Maintenance,4
121-5163-0,1.2.2,Bridges,Bridge Maintenance,Wall Street,,Major repairs to bridge over Lower Wall Street parking between Peachtree Street & Central Avenue.,Low,"$3,202,000",0%,,"$3,202,000",SE,,,SE,,1.000,"$3,202,000",,,2,,,,,,,,,,,,1.000,"$3,202,000",M,,,,,Downtown,,,,,,,,,,,,,,,,,Yes,Low Bridge Maintenance,4
121-5115-0,1.2.3,Bridges,Bridge Replacement,Woodland Avenue,,Replacement of 61 year old bridge over Intrenchment Creek between Custer Avenue and Napier Street.  Replacement will increase load carrying capacity.,Medium,"$2,750,000",0%,,"$2,750,000",SE,,,SE,,1.000,"$2,750,000",,1,,,,,,,,,,,,,1.000,"$2,750,000",W,,,,,Woodland Hills,Custer/McDonough/Guice,,,,,,,,,,,,,,,,No,Medium Bridge Replacement,6
121-5169-0,1.2.3,Bridges,Bridge Replacement,Adams Drive,,Replacement of 105 year old bridge culvert  over South Utoy Creek between Cascade Road & Childress Drive.,Medium,"$6,000,000",100%,,$0,SW,,,,SW,1.000,"$6,000,000",,,,,,,,,,,,11,,,1.000,$0,I,R,,,,Cascade Heights,Southwest,,,,,,,,,,,,,,,,No,Medium Bridge Replacement,1
121-0350-0,1.2.2,Bridges,Bridge Replacement,Childress Drive,,Replacement of bridge over South Utoy Creek between Key Drive & Cascade Road.,Medium,"$900,000",0%,,"$900,000",SW,,,,SW,1.000,"$900,000",,,,,,,,,,,,11,,,1.000,"$900,000",I,R,,,,Cascade Heights,Southwest,,,,,,,,,,,,,Childress Drive,,,No,Medium Bridge Replacement,4
121-0393-0,1.2.3,Bridges,Bridge Replacement,Anderson Avenue,,"Replacement of 74 year old bridge over CSX Railroad between Martin L. King, Jr. Drive & Penelope Road.",High,"$3,648,300",0%,,"$3,648,300",NW,,NW,,,1.000,"$3,648,300",,,,3,,,,,,,10,,,,0.500,"$1,824,150",J,,,,,Dixie Hills,Penelope Neighbors,,,,,,,,,,,,,,,,No,High Bridge Replacement,1
121-0398-0,1.2.3,Bridges,Bridge Replacement,Bohler Road,,Replacement of 63 year old bridge over Peachtree Creek between Battleview Drive and Hanover West Drive.,Low,"$475,000",0%,,"$475,000",NW,,NW,,,1.000,"$475,000",,,,,,,,,8,9,,,,,0.500,"$237,500",C,,,,,Wesley Battle,Hanover West,Cross Creek,,,,,,,,,,,,Bohler Road,,,No,Low Bridge Replacement,4
121-0396-0,1.2.3,Bridges,Bridge Replacement,Chattahoochee Avenue,,Replacement of 71 year old bridge over Southern Railroad between Old Chattahoochee Avenue & Hubert Street.,Low,"$4,000,000",0%,,"$4,000,000",NW,,NW,,,1.000,"$4,000,000",,,,,,,,,,9,,,,,1.000,"$4,000,000",D,,,,,Blandtown,Underwood Hills,,,,,,,,,,,,,Chattahoochee Avenue,,,No,Low Bridge Replacement,4
121-0448-0,1.2.3,Bridges,Bridge Replacement,Powers Ferry Road,,Replacement of 105 year old bridge over Nancy Creek between Pineland Road & Hillside Drive.,High,"$2,040,000",0%,,"$2,040,000",NW,,NW,,,1.000,"$2,040,000",,,,,,,,,8,,,,,,1.000,"$2,040,000",A,,,,,Chastain Park,,,,,,,,,,,,,,Powers Ferry Road,,,No,High Bridge Replacement,1
121-0437-0,1.2.3,Bridges,Bridge Replacement,Collier Road,,Replacement of bridge over CSX Railroad between Ardmore Road & Dellwood Drive.,Low,"$883,000",0%,,"$883,000",NW,,NW,,,1.000,"$883,000",,,,,,,,,8,,,,,,1.000,"$883,000",C,E,,,,Collier Hills North,Ardmore,,,,,,,,,,,,,Collier Road,,,No,Low Bridge Replacement,4
121-0328-0,1.2.3,Bridges,Bridge Replacement,Paces Ferry Road,,Major repairs to bridge over Chattahoochee River between Northgate Drive and City Limits.,Low,"$150,000",0%,,"$150,000",NW,,NW,,,1.000,"$150,000",,,,,,,,,8,,,,,,1.000,"$150,000",A,,,,,Paces,,,,,,,,,,,,,,Paces Ferry Road,,,No,Low Bridge Replacement,4
121-5235-0,1.2.3,Bridges,Bridge Replacement,Mountain Way Road,,Replacement of 87 year old bridge over Nancy Creek Tributary between Georgia 400 & Wieuca Road.,Low,"$128,100",0%,,"$128,100",NE,NE,,,,1.000,"$128,100",,,,,,,,7,,,,,,,1.000,"$128,100",B,,,,,North Buckhead,,,,,,,,,,,,,,,,,No,Low Bridge Replacement,4
121-5088-0,1.2.3,Bridges,Bridge Replacement,Park Drive,,Replacement of 82 year old bridge over Southern Railroad bordering Piedmont Park.,low,"$4,342,000",0%,,"$4,342,000",NE,NE,,,,1.000,"$4,342,000",,,,,,,6,,,,,,,,1.000,"$4,342,000",E,,,,,Midtown,,,,,,,,,,,,,,,,,Yes,Low Bridge Replacement,6
089-5039-0,1.2.3,Bridges,Bridge Replacement,Lullwater Parkway,,Replacement of 84 year old bridge over Lullwater Creek near Lullwater Road.  Replacement will increase load carrying capacity.,Low,"$732,000",0%,,"$732,000",NE,NE,,,,1.000,"$732,000",,,,,,,6,,,,,,,,1.000,"$732,000",N,,,,,Druid Hills,,,,,,,,,,,,,,,,,No,Low Bridge Replacement,4
089-5040-0,1.2.3,Bridges,Bridge Replacement,Lullwater Parkway,,Replacement of 56 year old bridge over Lullwater Creek near Lullwater Road.  Replacement will increase load carrying capacity.,Low,"$500,000",0%,,"$500,000",NE,NE,,,,1.000,"$500,000",,,,,,,6,,,,,,,,1.000,"$500,000",N,,,,,Druid Hills,,,,,,,,,,,,,,,,,No,Low Bridge Replacement,4
121-5278-0,1.2.3,Bridges,Bridge Replacement,Montgomery Ferry Drive,,Replacement of 55 year old bridge over Southern Railroad between Flagler Avenue & Golf Circle.  Replacement will increase load carrying capacity.,Medium,"$2,750,000",0%,,"$2,750,000",NE,NE,,,,1.000,"$750,000",,,,,,,6,,,,,,,,1.000,"$2,750,000",E,F,,,,Ansley Park,Piedmont Heights,,,,,,,,,,,,,Montgomery Ferry Road,,,No,Medium Bridge Replacement,4
121-0333-0,1.2.3,Bridges,Bridge Replacement,Jones Avenue,,Replacement of 95 year old bridge Southern Railroad between Northside Drive and Vine Street.,Low,"$1,364,000",0%,,"$1,364,000",NW,,NW,,,1.000,"$1,364,000",,,,3,,,,,,,,,,,1.000,"$1,364,000",L,,,,,English Avenue,,,,,,,,,,,,,,,,,Yes,Low Bridge Replacement,4
121-0322-0,1.2.3,Bridges,Bridge Replacement,Courtland Street,,"Replacement of 106 year old bridge over Decatur Street & CSX Railroad between Martin L. King, Jr. Drive & Edgewood Avenue.",Medium,"$31,540,000",90%,,"$31,540,000",SE,,,SE,,1.000,"$3,154,000",,,2,,,,,,,,,,,,1.000,"$31,540,000",M,,,,,Downtown,,,,,,,,,,,Courtland Street,,,,,,Yes,Medium Bridge Replacement,1
121-0024-0,1.2.3,Bridges,Bridge Replacement,Edgewood Avenue,,Replacement of 88 year old bridge over Atlanta Beltline between Krog Street & Cornelia Street.,High,"$5,965,000",100%,,$0,NE,NE,,,,1.000,"$965,000",,,2,,,,,,,,,,,,1.000,$0,N,,,,,Inman Park,,,,,,,,,,,Edgewood Avenue,,,,,,Yes,High Bridge Replacement,1
121-5239-0,1.2.3,Bridges,Bridge Replacement,"Martin L. King, Jr. Drive",,Replacement of 105 year old bridge over surface parking between Northside Drive & Forsyth Street.,High,"$13,322,400",0%,,"$13,322,400",SW,,,,SW,1.000,"$13,322,400",,,2,,,,,,,,,,,,1.000,"$13,322,400",M,,,,,Downtown,Castleberry Hill,,,,,,,,,,"Martin L. King, Jr. Drive",,,,,,Yes,High Bridge Replacement,1
121-5123-0,1.2.3,Bridges,Bridge Replacement,Nelson Street - pedestrian,,Replacement of 95 year old bridge over Southern Railroad between Elliot Street & Spring Street.,High,"$5,000,000",0%,,"$5,000,000",SW,,,,SW,1.000,"$5,000,000",,,2,,,,,,,,,,,,1.000,"$5,000,000",M,,,,,Castleberry Hill,,,,,,,,,,,,,,,,,Yes,High Bridge Replacement,2
121-5123-0,1.2.3,Bridges,Bridge Replacement,Nelson Street,,Replacement/conversion to pedestrian bridge of 95 year old bridge over Southern Railroad between Elliot Street & Spring Street.,low,"$12,264,400",0%,,"$12,264,400",SW,,,,SW,1.000,"$12,264,400",,,2,,,,,,,,,,,,1.000,"$12,264,400",M,,,,,Castleberry Hill,,,,,,,,,,,,,,,,,Yes,Low Bridge Replacement,7
121-0417-0,1.2.3,Bridges,Bridge Replacement,Central Avenue,,"Replacement of 82 year old bridge over CSX Railroad & MARTA between Martin L. King, Jr. Drive & Marietta Street.",Medium,"$18,650,000",0%,,"$18,650,000",SE,,,SE,,1.000,"$18,650,000",,,2,,,,,,,,,,,,1.000,"$18,650,000",M,,,,,Downtown,,,,,,,,,,,Central Avenue,,,,,,Yes,Medium Bridge Replacement,2
121-5175-0,1.2.3,Bridges,Bridge Replacement,Pryor Street,,"Replacement of 83 year old bridge over CSX Railroad between Martin L. King, Jr. Drive & Marietta Street.",Medium,"$22,156,420",0%,,"$22,156,420",SW,,,,SW,1.000,"$22,156,420",,,2,,,,,,,,,,,,1.000,"$22,156,420",M,,,,,Downtown,,,,,,,,,,,Pryor Street,,,,,,Yes,Medium Bridge Replacement,3
121-5270-0,1.2.3,Bridges,Bridge Replacement,Forsyth Street,,Replacement of bridge over CSX Railroad & surface parking lots between Alabama Street & Marietta Street.,Low,"$4,450,000",0%,,"$4,450,000",SW,,,,SW,1.000,"$4,450,000",,,2,,,,,,,,,,,,1.000,"$4,450,000",M,,,,,Downtown,,,,,,,,,,,,,,Forsyth Street,,,Yes,Low Bridge Replacement,4
121-0391-0,1.2.3,Bridges,Bridge Replacement,"Martin L. King, Jr. Drive",,Replacement of 77 year old bridge over Southern Railroad between Northside Drive & Forsyth Street.,Low,"$46,900,000",0%,,"$46,900,000",SW,,,,SW,1.000,"$46,900,000",,,2,,,,,,,,,,,,1.000,"$46,900,000",M,,,,,Downtown,Castleberry Hill,,,,,,,,,,"Martin L. King, Jr. Drive",,,,,,Yes,Low Bridge Replacement,5
,1.1.2,Bicycle-Pedestrians,Complete Street,Major corridor complete streets ,,"Replacement of deteriorated  sidewalks to standard for ADA compliance, optimize lanes to provide increase multi-modal usage alond major throughfares.  Project is a compliment to the major corridor signal optimization project.",High,"$10,000,000",0%,,"$10,000,000","NE, NW, SE, SW",NE,NW,SE,SW,0.250,"$2,500,000",,,,,,,,,,,,,,cw,,$0,,,,,,,,,,,,,,,,,,,,,,,,High traffic signals,2
,1.3.5,Roadway,Curbing,Curbing Replacement Program,,Replacement of deteriorated and obsolete curbing throught City.,High,"$5,400,000",0%,,"$5,400,000","NE, NW, SE, SW",NE,NW,SE,SW,0.250,"$1,350,000",,1,2,3,4,5,6,7,8,9,10,11,12,,0.083,"$448,200",,,,,,,,,,,,,,,,,,,,,,,,High Curbing,1
,1.3.5,Roadway,Curbing,Curbing Replacement Program,,Replacement of deteriorated and obsolete curbing throught City.,Medium,"$3,600,000",0%,,"$3,600,000","NE, NW, SE, SW",NE,NW,SE,SW,0.250,"$900,000",,1,2,3,4,5,6,7,8,9,10,11,12,,0.083,"$298,800",,,,,,,,,,,,,,,,,,,,,,,,Medium Curbing,3
,1.3.5,Roadway,Curbing,Curbing Replacement Program,,Replacement of deteriorated and obsolete curbing throught City.,Low,"$10,800,000",0%,,"$10,800,000","NE, NW, SE, SW",NE,NW,SE,SW,0.250,"$2,700,000",,1,2,3,4,5,6,7,8,9,10,11,12,,0.083,"$896,400",,,,,,,,,,,,,,,,,,,,,,,,Low Curbing,6
,1.3.5,Roadway,Curbing,Curbing Replacement Program,,Replacement of deteriorated and obsolete curbing throught City.,High,"$5,400,000",0%,,"$5,400,000","NE, NW, SE, SW",NE,NW,SE,SW,0.250,"$1,350,000",,1,2,3,4,5,6,7,8,9,10,11,12,,0.083,"$448,200",,,,,,,,,,,,,,,,,,,,,,,,High Curbing,2
,1.3.5,Roadway,Curbing,Curbing Replacement Program,,Replacement of deteriorated and obsolete curbing throught City.,Medium,"$3,600,000",0%,,"$3,600,000","NE, NW, SE, SW",NE,NW,SE,SW,0.250,"$900,000",,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,Medium Curbing,4
,1.3.5,Roadway,Curbing,Curbing Replacement Program,,Replacement of deteriorated and obsolete curbing throught City.,Medium,"$3,600,000",0%,,"$3,600,000","NE, NW, SE, SW",NE,NW,SE,SW,0.250,"$900,000",,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,Medium Curbing,5
,1.3.5,Roadway,Curbing,Curbing Replacement Program,,Replacement of deteriorated and obsolete curbing throught City.,Medium,"$3,600,000",0%,,"$3,600,000","NE, NW, SE, SW",NE,NW,SE,SW,0.250,"$900,000",,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,Medium Curbing,7
,1.3.5,Roadway,Curbing,Curbing Replacement Program,,Replacement of deteriorated and obsolete curbing throught City.,Medium,"$3,600,000",0%,,"$3,600,000","NE, NW, SE, SW",NE,NW,SE,SW,0.250,"$900,000",,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,Medium Curbing,8
,1.3.2,Roadway,Roadway Construction,Fisher Road,,Roadway construction on unpaved street from Custer Avenue to Sloan Circle.,High,"$270,000",0%,,"$270,000",SE,,,SE,,1.000,"$270,000",1,1,,,,,,,,,,,,,1.000,"$270,000",W,,,,,Custer/McDonough/Guice,,,,,,,,,,,,,,,,,,High Roadway Construction,3
,1.3.2,Roadway,Roadway Construction,Sloan Circle,,Roadway construction on unpaved street from Custer Avenue to dead end.,High,"$1,210,000",0%,,"$1,210,000",SE,,,SE,,1.000,"$1,210,000",1,1,,,,,,,,,,,,,1.000,"$1,210,000",W,,,,,Custer/McDonough/Guice,,,,,,,,,,,,,,,,,,High Roadway Construction,3
